School_code,Attendance,Enrollment,New_student,Withdrawals,African_American,White,Asian,Latino,Other,Pacific_Islander,Low_income_family,SCHOOL_NAME_1,SCHOOL_NAME_2,ADDRESS,SCHOOL_ZIP,ZIP_PLUS_4,CITY,STATE_CD,PHONE_NUMBER,SCH_START_GRADE,SCH_TERM_GRADE,HPADDR,SCHOOL_LEVEL_NAME,Drugs,Morals,Assaults,Weapons,Thefts,Total_suspensions,One_suspension,Two_suspensions,Three_suspensions,Three_plus_suspensions,Teacher_attendance,Special_education,Gifted_education,English_second_language,Average_salary
1400,94,683,110,73,87,2,6,1,4,0,87,JOHN M PATTERSON SCHOOL,"PATTERSON, JOHN M. SCHOOL",7000 BUIST AVE.,19142,NA,PHILADELPHIA,PA,2154926453,0,4,www.philasd.org/schools/patterson,ELEMENTARY SCHOOL,0,0,3,1,0,25,18,5,2,0,93,6,0,16,73526
1410,91,587,90,76,96,1,0,1,3,0,92,JAMES RHOADS SCHOOL,"RHOADS, JAMES SCHOOL",4901 PARRISH ST.,19139,NA,PHILADELPHIA,PA,2155815504,0,8,www.philasd.org/schools/rhoads,ELEMENTARY SCHOOL,0,0,16,2,1,124,67,23,14,20,94,12,0,0,62406
1420,94,372,38,25,96,0,0,1,3,0,90,M. WASHINGTON ACADEMICS PLUS,"WASHINGTON, MARTHA SCHOOL",766 N. 44TH ST.,19104,NA,PHILADELPHIA,PA,2158238203,0,8,www.philasd.org/schools/marthawashington,ELEMENTARY SCHOOL,0,1,6,1,0,46,30,10,4,2,96,18,0,1,66389
1440,94,637,67,61,88,3,3,2,5,0,80,PENROSE SCHOOL,PENROSE SCHOOL,2515 S. 78TH ST.,19153,NA,PHILADELPHIA,PA,2154926455,0,8,www.philasd.org/schools/penrose,ELEMENTARY SCHOOL,0,1,18,1,0,98,53,22,10,13,93,15,0,3,71288
1460,92,524,87,63,97,0,0,1,1,0,88,ADD B ANDERSON SCHOOL,"ANDERSON, ADD B. SCHOOL",1034 S. 60TH ST.,19143,NA,PHILADELPHIA,PA,2154712903,0,8,www.philasd.org/schools/anderson,ELEMENTARY SCHOOL,0,1,17,2,1,52,35,12,3,2,95,10,1,0,72712
1470,92,449,94,66,92,1,1,2,3,0,95,ALAIN LOCKE SCHOOL,"LOCKE, ALAIN SCHOOL",4550 HAVERFORD AVE.,19139,NA,PHILADELPHIA,PA,2158238202,0,8,www.philasd.org/schools/locke,ELEMENTARY SCHOOL,0,1,19,2,0,54,39,8,5,2,94,10,0,2,61612
1490,93,398,74,40,98,0,0,1,1,0,92,BLANKENBURG SCHOOL,"BLANKENBURG, RUDOLPH SCHOOL",4600 W. GIRARD AVE.,19131,NA,PHILADELPHIA,PA,2155815505,0,8,www.philasd.org/schools/blankenburg,ELEMENTARY SCHOOL,0,1,11,1,0,71,39,15,10,7,93,16,0,0,66566
1580,96,277,4,9,87,3,6,2,2,0,74,MIDDLE YEARS ALTERNATIVE-MYA,MYA-MIDDLE YEARS ALTERNATIVE,4725 FAIRMOUNT AVE.,19139,NA,PHILADELPHIA,PA,2155815633,5,8,www.philasd.org/schools/mya,MIDDLE SCHOOL,0,0,3,0,0,49,27,13,4,5,92,7,5,2,74838
2000,80,875,167,254,63,6,24,6,1,0,86,SOUTH PHILADELPHIA H.S.,SOUTH PHILADELPHIA H.S.,2101 S. BROAD ST.,19148,NA,PHILADELPHIA,PA,2159526220,9,12,www.philasd.org/schools/southphila,HIGH SCHOOL,9,2,51,10,2,314,177,71,22,43,95,23,1,21,78322
2010,85,630,82,117,85,1,4,9,1,0,89,BENJAMIN FRANKLIN HIGH SCHOOL,"FRANKLIN, BENJAMIN HIGH SCHOOL",550 N. BROAD ST.,19130,NA,PHILADELPHIA,PA,2152994662,9,12,www.philasd.org/schools/benfranklin,HIGH SCHOOL,2,0,14,2,2,156,98,34,12,11,94,22,2,8,69573
2020,95,684,2,12,51,32,5,10,2,0,52,CREATIVE AND PERFORMING ARTS,CREATIVE AND PERFORMING ARTS,901 S. BROAD ST.,19147,NA,PHILADELPHIA,PA,2159522462,9,12,www.philasd.org/schools/capa,HIGH SCHOOL,0,0,2,0,1,15,13,2,0,0,95,5,19,1,71403
2140,97,1190,2,6,28,43,20,6,3,0,45,MASTERMAN HIGH SCHOOL,"MASTERMAN, JULIA R. HIGH SCHL.",1699 SPRING GARDEN ST.,19130,NA,PHILADELPHIA,PA,2152994661,5,12,www.philasd.org/schools/masterman,HIGH SCHOOL,1,0,0,1,1,12,10,1,0,0,96,2,63,0,46694
2160,86,625,88,102,40,11,38,10,1,0,80,FURNESS HIGH SCHOOL,"FURNESS, HORACE HIGH SCHOOL",1900 S. 3RD ST.,19148,NA,PHILADELPHIA,PA,2159526226,9,12,www.philasd.org/schools/furness,HIGH SCHOOL,2,1,12,4,2,83,58,15,4,5,94,20,1,28,70123
2190,95,513,48,32,14,33,31,16,5,0,84,D. NEWLIN FELL SCHOOL,"FELL, D. NEWLIN SCHOOL",900 W. OREGON AVE.,19148,NA,PHILADELPHIA,PA,2159526237,0,8,www.philasd.org/schools/dnfell,ELEMENTARY SCHOOL,0,0,0,0,1,28,18,8,2,2,94,10,1,20,71526
2210,94,389,35,26,79,9,1,7,5,0,82,BACHE-MARTIN SCHOOL,BACHE-MARTIN SCHOOL,2201 BROWN ST.,19130,NA,PHILADELPHIA,PA,2156845074,0,8,www.philasd.org/schools/bachemartin,ELEMENTARY SCHOOL,0,1,5,0,0,28,22,4,2,0,94,23,6,2,71558
2240,93,391,39,34,69,19,4,3,6,0,91,AMEDEE F BREGY SCHOOL,"BREGY, F. AMEDEE SCHOOL",1700 BIGLER ST.,19145,NA,PHILADELPHIA,PA,2159526218,0,8,www.philasd.org/schools/bregy,ELEMENTARY SCHOOL,0,2,9,1,0,51,31,13,4,2,93,18,1,2,69102
2260,94,582,55,39,62,0,25,10,3,0,90,GEORGE W CHILDS SCHOOL,"CHILDS, GEORGE W. SCHOOL",1599 WHARTON ST.,19146,NA,PHILADELPHIA,PA,2159526213,0,8,www.philasd.org/schools/childs,ELEMENTARY SCHOOL,0,0,6,1,0,74,46,13,7,8,96,13,2,18,69138
